ID,Enrollment_status,Age_at_enrollment_years,Age_current_years,Sex,Age_at_gonadectomy_categorical,Region_of_residence,Body_condition_categorical,Primary_endpoint,Primary_endpoint_diagnosis_tier,Age_at_primary_endpoint_diagnosis_years,Age_at_death_or_ltf_years,Cause_of_death_cancer_yes_no,Total_follow_up_time_years,Necropsy_performed_yes_no
grlsXC5ZPDXX,Enrolled,1.19,9.8,Male Intact,Intact,South,Normal,,,,,,9.8,
grlsWNOL0UZZ,Enrolled,2.55,11.08,Female Spayed,<= 6 mo,South,Normal,,,,,,11.08,
grlsKOFQ3044,Enrolled Deceased,1.62,9.19,Male Neutered,6 mo - 1 yr,South,Overweight,Hemangiosarcoma,1,9.19,9.19,1,9.19,Yes
grlsGI26RS66,Enrolled,2.46,11.08,Male Neutered,<= 6 mo,Mountain,Overweight,,,,,,11.08,
grlsGQEN0GEE,Enrolled Deceased,1.53,8.83,Female Spayed,1 - 2 yrs,Mountain,Overweight,Hemangiosarcoma,1,8.83,8.83,1,8.83,Yes
grlsONZRBVGG,Enrolled,1.37,9.77,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,9.77,
grlsN4MLY555,Enrolled,2.54,9.72,Female Spayed,6 mo - 1 yr,South,,,,,,,9.72,
grlsAGEYKUYY,Enrolled,1.41,9.95,Female Spayed,2 - 5 yrs,South,Normal,,,,,,9.95,
grlsTOWNL9UU,Enrolled Deceased,2.06,5.57,Female Spayed,2 - 5 yrs,South,Normal,,,,5.57,1,5.57,Yes
grls3SN3WPJJ,Enrolled,1.55,10.16,Male Intact,Intact,Northeast,Normal,,,,,,10.16,
grlsRQY64ZHH,Enrolled,1.08,9.59,Female Spayed,>5 yrs,Midwest,Overweight,,,,,,9.59,
grlsO3BDIVWW,Enrolled,2.62,11.12,Female Spayed,>5 yrs,South,Normal,,,,,,11.12,
grlsG2JULRR,Enrolled,2.08,10.78,Female Spayed,>5 yrs,Northeast,Normal,,,,,,10.78,
grls9Q4LJOWW,Enrolled,1.94,9.49,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,,,9.49,
grlsZKDZ9N00,Enrolled,2.08,10.75,Female Spayed,<= 6 mo,Northeast,Normal,,,,,,10.75,
grlsJLPUNPII,Enrolled,2.56,9.52,Male Neutered,6 mo - 1 yr,South,Overweight,,,,,,9.52,
grlsATVT2KUU,Enrolled,1.44,10.05,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,10.05,
grls6L5GEWII,Enrolled Deceased,1.08,8.07,Male Neutered,2 - 5 yrs,South,Overweight,Hemangiosarcoma,2,8.05,8.07,1,8.07,No
grlsC0EX4933,Enrolled Deceased,2.41,7.88,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,7.88,0,7.88,No
grls1JWEEY,Enrolled,1.11,9.77,Female Spayed,<= 6 mo,South,,,,,,,9.77,
grlsHMN1FZ77,LTF,0.92,1.86,Male Intact,Intact,Midwest,Overweight,,,,1.86,,1.86,
grls4V37K977,Enrolled Deceased,1.41,9.3,Male Neutered,1 - 2 yrs,South,Overweight,,,,9.3,0,9.3,Yes
grlsGBDDG0JJ,Enrolled,1.11,9.34,Female Spayed,<= 6 mo,Northeast,Normal,,,,,,9.34,
grls8EJ7OW99,Enrolled,1.71,10.25,Male Intact,Intact,Mountain,Normal,Lymphoma,1,10.17,,,10.25,
grlsY21VCNLL,Enrolled,1.42,10.01,Male Neutered,>5 yrs,Mountain,,,,,,,10.01,
grls4OOI0C66,Enrolled,2.67,9.48,Male Neutered,<= 6 mo,Mountain,Normal,,,,,,9.48,
grls3XQD0E33,LTF,1.85,1.49,Male Intact,Intact,Midwest,Normal,,,,1.49,,1.49,
grlsW5PNQ9CC,Enrolled Deceased,2.43,10.7,Female Spayed,>5 yrs,South,Overweight,Hemangiosarcoma,1,10.7,10.7,1,10.7,Yes
grls11BBNP,Enrolled Deceased,1.38,9.43,Female Spayed,6 mo - 1 yr,Northeast,,,,,9.43,0,9.43,Yes
grls3QVAHF11,Enrolled,2.25,10.82,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,10.82,
grls4DCW3PVV,Enrolled,2.26,10.84,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,10.84,
grls0EZB9OCC,Enrolled Deceased,1.64,9.95,Male Neutered,6 mo - 1 yr,South,Normal,Hemangiosarcoma,1,9.65,9.95,1,9.95,No
grlsODB8SKHH,Enrolled,2.16,10.7,Male Intact,Intact,South,Normal,,,,,,10.7,
grlsF744CMII,Enrolled,2.27,10.77,Female Spayed,6 mo - 1 yr,Midwest,Overweight,,,,,,10.77,
grlsZGWS2Z33,Enrolled,1.89,10.32,Female Intact,Intact,Mountain,,,,,,,10.32,
grls95XW2JVV,Enrolled,1.44,9.98,Female Spayed,6 mo - 1 yr,Northeast,Obese,,,,,,9.98,
grlsC7EYGG66,Enrolled,1.55,9.61,Female Spayed,>5 yrs,South,,,,,,,9.61,
grlsJ6C2KJJ,Enrolled Deceased,2.76,8.51,Female Spayed,6 mo - 1 yr,Midwest,Overweight,Lymphoma,1,8.25,8.51,1,8.51,Yes
grls1US5SPBB,Enrolled,2.4,10.96,Male Neutered,<= 6 mo,Northeast,Normal,,,,,,10.96,
grlsCW6YD533,Enrolled,1.62,10.11,Male Neutered,1 - 2 yrs,Mountain,Overweight,,,,,,10.11,
grlsFY9FEAWW,Enrolled,1.28,9.89,Female Spayed,>5 yrs,Midwest,Normal,,,,,,9.89,
grlsZ4LXDL66,Enrolled Deceased,1.96,6.72,Female Spayed,6 mo - 1 yr,Pacific,Normal,,,,6.72,0,6.72,Yes
grlsIJPE4Z33,Enrolled,2.65,10.9,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,10.9,
grls3L76FSS,Enrolled,1.94,10.52,Female Spayed,1 - 2 yrs,Northeast,Overweight,,,,,,10.52,
grlsUD2OGC44,Enrolled,1.61,10.16,Female Spayed,>5 yrs,Northeast,Normal,,,,,,10.16,
grlsZ36Y96YY,Enrolled,0.83,9.42,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,9.42,
grlsIX3S9766,Enrolled,0.67,9.33,Female Spayed,1 - 2 yrs,South,Obese,,,,,,9.33,
grlsOFX17FUU,Enrolled,1.63,10.31,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,10.31,
grls7259A4YY,Enrolled,2.56,10.7,Male Intact,Intact,Northeast,Normal,,,,,,10.7,
grlsTK9649UU,Enrolled Deceased,1.49,8.94,Female Spayed,6 mo - 1 yr,Pacific,Normal,,,,8.94,1,8.94,Yes
grls9NZ8HLWW,Enrolled Deceased,2.37,7.52,Male Neutered,6 mo - 1 yr,Northeast,Normal,Hemangiosarcoma,1,7.52,7.52,1,7.52,Yes
grls8N6RW177,LTF,1.89,3.87,Male Intact,Intact,Northeast,Normal,,,,3.87,,3.87,
grlsOC6LS7RR,Enrolled Deceased,0.77,9.17,Female Spayed,>5 yrs,South,Overweight,Hemangiosarcoma,1,9.17,9.17,1,9.17,Yes
grlsQTZ8XMM,Enrolled,2.12,10.64,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,10.64,
grlsRC7GLHQQ,Enrolled,2.94,10.76,Male Intact,Intact,Pacific,Normal,,,,,,10.76,
grlsMPFEO811,LTF,1.59,4.69,Male Neutered,1 - 2 yrs,South,Normal,,,,4.69,,4.69,
grlsPSOP6XOO,LTF,2.48,7.11,Female Spayed,2 - 5 yrs,Pacific,Overweight,Hemangiosarcoma,3,10.31,7.11,,7.11,
grls7K6Z7LXX,Enrolled Deceased,1.89,5.88,Female Intact,Intact,South,Overweight,Lymphoma,1,5.56,5.88,1,5.88,No
grlsBHYS3ZEE,Enrolled,2.23,10.37,Male Intact,Intact,Mountain,Overweight,,,,,,10.37,
grlsRQ7AU5XX,Enrolled,1.52,9.72,Female Spayed,>5 yrs,Mountain,,,,,,,9.72,
grlsMHXRGTT,Enrolled,2.19,10.75,Male Intact,Intact,Northeast,Normal,,,,,,10.75,
grlsG8CEWDGG,Enrolled,0.64,9.19,Male Neutered,>5 yrs,Mountain,Normal,,,,,,9.19,
grls1IO60U55,Enrolled,2.37,10.03,Female Intact,Intact,Midwest,Overweight,,,,,,10.03,
grlsLMEPJC99,Enrolled,2.08,9.19,Female Spayed,>5 yrs,South,Normal,,,,,,9.19,
grlsFF3DCAOO,LTF,1.73,3.77,Female Intact,Intact,Midwest,Normal,,,,3.77,,3.77,
grlsFFKE0M33,Enrolled,1.54,9.86,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,9.86,
grls6ZGFMO99,Enrolled Deceased,2.07,6.77,Female Intact,Intact,Midwest,Normal,,,,6.77,0,6.77,No
grlsXMRZ85II,Enrolled,1.04,8.31,Female Spayed,>5 yrs,South,Obese,,,,,,8.31,
grls9ZG7XWKK,Enrolled,2.35,10.91,Female Intact,Intact,Midwest,Normal,,,,,,10.91,
grlsSCKQN7GG,Enrolled,0.84,9.45,Male Intact,Intact,Northeast,Normal,,,,,,9.45,
grls2KYD04OO,Enrolled,2.34,10.02,Male Neutered,<= 6 mo,South,Overweight,,,,,,10.02,
grls719B98CC,Enrolled,1.62,9.51,Female Spayed,>5 yrs,South,Normal,,,,,,9.51,
grls7A730Z22,Enrolled,1.9,10.12,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,10.12,
grls0LUXUMTT,Enrolled,1.88,10.07,Male Neutered,>5 yrs,Midwest,Overweight,,,,,,10.07,
grls8YZZ2XSS,Enrolled,2.37,10.75,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,10.75,
grls7RFFFN33,Enrolled Deceased,1.35,8.65,Female Spayed,<= 6 mo,Pacific,Normal,Osteosarcoma,1,8.07,8.65,1,8.65,No
grlsZ4E4WDRR,LTF,2.44,4.21,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,4.21,,4.21,
grlsB6INTB99,Enrolled,1.38,9.95,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,,,9.95,
grlsY07N3VWW,LTF,2.72,3.55,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,3.55,,3.55,
grlsFIQS65WW,Enrolled,0.54,9.07,Male Neutered,1 - 2 yrs,Midwest,Normal,,,,,,9.07,
grls5UBCFJUU,LTF,1.38,1.01,Male Intact,Intact,South,Overweight,,,,1.01,,1.01,
grlsZYWPKKJJ,Enrolled Deceased,0.92,8.1,Female Spayed,<= 6 mo,Northeast,Normal,Lymphoma,1,8.1,8.1,1,8.1,Yes
grls02VDCV99,Enrolled,1.95,10.25,Female Spayed,<= 6 mo,Mountain,Overweight,,,,,,10.25,
grlsHO2TSODD,Enrolled Deceased,2.3,10.38,Male Neutered,1 - 2 yrs,Midwest,Normal,,,,10.38,1,10.38,Yes
grlsZJD8DKEE,Enrolled Deceased,0.97,6.53,Male Neutered,6 mo - 1 yr,Northeast,Overweight,,,,6.53,0,6.53,No
grls4WD6UGG,Enrolled,1.53,10.16,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,10.16,
grlsTO87VV,Enrolled Deceased,2.14,7.76,Male Neutered,6 mo - 1 yr,Midwest,Overweight,Hemangiosarcoma,1,7.76,7.76,1,7.76,Yes
grlsE9MPH2YY,Enrolled Deceased,0.51,8.25,Female Spayed,6 mo - 1 yr,Mountain,Overweight,,,,8.25,1,8.25,Yes
grlsQVIQFV77,LTF,2.01,3.44,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,3.44,,3.44,
grls0CSZ8WSS,Enrolled,0.53,8.99,Male Neutered,1 - 2 yrs,Northeast,Overweight,,,,,,8.99,
grls5663T6FF,Enrolled,1.89,10.39,Male Neutered,2 - 5 yrs,Mountain,Overweight,,,,,,10.39,
grlsCSQMX133,Enrolled,1.96,10.43,Male Neutered,<= 6 mo,South,Normal,,,,,,10.43,
grlsMJZUKONN,Enrolled,2.05,10.06,Male Intact,Intact,Mountain,Normal,,,,,,10.06,
grlsMSQR2KGG,Enrolled Deceased,2.05,9.14,Male Intact,Intact,Mountain,Normal,Hemangiosarcoma,1,9.14,9.14,1,9.14,Yes
grls35S9K3WW,Enrolled,0.58,9.06,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,9.06,
grlsH7SFCTII,Enrolled,0.69,8.93,Male Neutered,6 mo - 1 yr,Mountain,,,,,,,8.93,
grlsOMR9B833,Enrolled Deceased,2.06,10.12,Male Intact,Intact,Midwest,Normal,Lymphoma,1,10.05,10.12,1,10.12,Yes
grlsYXQ10OHH,Enrolled,1.91,10.14,Female Spayed,1 - 2 yrs,Midwest,Overweight,,,,,,10.14,
grlsMRYUH,LTF,1.54,7.51,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,7.51,,7.51,
grlsUPU4IQSS,Enrolled,0.62,9.17,Female Spayed,<= 6 mo,Midwest,Obese,,,,,,9.17,
grlsY6SJNLNN,Enrolled Deceased,1.72,9.6,Male Neutered,<= 6 mo,Midwest,Overweight,Hemangiosarcoma,1,9.6,9.6,1,9.6,Yes
grlsLC84MJJ,Enrolled,0.5,9.06,Female Spayed,>5 yrs,South,Normal,,,,,,9.06,
grls7NDETY77,Enrolled,1.71,10.24,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,10.24,
grlsBKB4TUXX,Enrolled,1.39,9.57,Female Spayed,1 - 2 yrs,Midwest,Overweight,,,,,,9.57,
grlsRWG7533,Enrolled,0.89,9.57,Female Spayed,<= 6 mo,Pacific,,,,,,,9.57,
grlsYLJ61233,Enrolled,2.03,10.2,Male Neutered,2 - 5 yrs,Mountain,Normal,,,,,,10.2,
grlsKSPNFT22,Enrolled,1.9,10.58,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,10.58,
grls0G7VYQ55,Enrolled,1.65,9.77,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,9.77,
grls6EXOOGFF,Enrolled,0.84,9.46,Male Neutered,<= 6 mo,Mountain,Overweight,,,,,,9.46,
grlsOZJNWLVV,Enrolled Deceased,1.86,2.84,Male Intact,Intact,South,Overweight,,,,2.84,1,2.84,Yes
grls8NWAH177,Enrolled,0.52,9.14,Female Intact,Intact,South,Normal,,,,,,9.14,
grlsPSXKAS55,Enrolled Deceased,1.24,9.45,Male Neutered,1 - 2 yrs,South,Normal,Hemangiosarcoma,1,9.37,9.45,1,9.45,Yes
grlsFD8D0QRR,Enrolled,1.64,9.7,Male Intact,Intact,South,Normal,,,,,,9.7,
grlsTPPW1BMM,Enrolled,1.64,10.21,Male Neutered,>5 yrs,South,Normal,,,,,,10.21,
grlsGHZTRXLL,Enrolled Deceased,0.59,7.9,Male Neutered,1 - 2 yrs,Midwest,Overweight,Hemangiosarcoma,1,7.85,7.9,1,7.9,Yes
grlsLDVP4ZGG,LTF,1.64,3.31,Female Intact,Intact,South,Normal,,,,3.31,,3.31,
grlsWUJPJUYY,Enrolled,1.5,10.02,Female Spayed,<= 6 mo,South,Normal,,,,,,10.02,
grlsM8FULL66,Enrolled Deceased,0.79,4.18,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,4.18,1,4.18,No
grlsX48RNRXX,Enrolled,0.76,8.97,Female Spayed,>5 yrs,Northeast,Normal,,,,,,8.97,
grlsVZTYB833,Enrolled Deceased,2,6.25,Male Neutered,1 - 2 yrs,Pacific,Overweight,,,,6.25,1,6.25,No
grlsV9M0L522,Enrolled,1.48,9.93,Male Neutered,2 - 5 yrs,Pacific,,,,,,,9.93,
grls3MRP58VV,Enrolled Deceased,2.91,9.74,Male Neutered,>5 yrs,Mountain,Normal,Hemangiosarcoma,1,9.74,9.74,1,9.74,Yes
grlsQ20T0I77,Enrolled Deceased,2,9.91,Female Spayed,2 - 5 yrs,Midwest,Normal,Hemangiosarcoma,1,9.91,9.91,1,9.91,Yes
grls4JKVS2BB,Enrolled Deceased,0.97,8.34,Female Spayed,6 mo - 1 yr,Pacific,Overweight,Hemangiosarcoma,2,8.34,8.34,1,8.34,No
grlsT71DHLKK,Enrolled,1.71,10.36,Female Spayed,1 - 2 yrs,Pacific,Normal,,,,,,10.36,
grlsARPE20WW,Enrolled,0.93,9.43,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,,,9.43,
grlsD7ZPOK33,Enrolled,2.02,9.82,Female Spayed,>5 yrs,Midwest,Normal,,,,,,9.82,
grlsRTE6CR33,Enrolled,1.41,9.21,Male Intact,Intact,Midwest,Normal,,,,,,9.21,
grlsRWMZKSJJ,Enrolled Deceased,2.08,10.2,Male Intact,Intact,South,Overweight,Hemangiosarcoma,1,10.19,10.2,1,10.2,Yes
grlsW588I188,Enrolled,1.35,9.86,Female Spayed,1 - 2 yrs,South,Normal,,,,,,9.86,
grlsJS60YMLL,Enrolled,0.85,9.36,Female Spayed,1 - 2 yrs,South,Normal,,,,,,9.36,
grlsKJBK2WCC,LTF,1.67,5.64,Male Intact,Intact,Pacific,Normal,,,,5.64,,5.64,
grlsKLL9VHDD,Enrolled,2.12,10.28,Male Neutered,2 - 5 yrs,Midwest,,,,,,,10.28,
grlsRVRN27BB,LTF,1.44,5.36,Male Neutered,2 - 5 yrs,South,Overweight,,,,5.36,,5.36,
grls44MCF9HH,Enrolled Deceased,1.46,9,Male Neutered,6 mo - 1 yr,Pacific,Normal,,,,9,1,9,Yes
grls50XJN4HH,Enrolled,1.49,10,Male Intact,Intact,Midwest,Normal,,,,,,10,
grlsO5YUR99,Enrolled,0.53,9.03,Male Neutered,>5 yrs,South,,,,,,,9.03,
grls94W4KJ77,Enrolled,1.49,10,Male Intact,Intact,Midwest,Normal,,,,,,10,
grls1W4Z888,Enrolled,0.55,8.87,Male Neutered,<= 6 mo,Pacific,Overweight,,,,,,8.87,
grlsPFS0H300,Enrolled,2.17,9.52,Male Neutered,2 - 5 yrs,Midwest,Overweight,Hemangiosarcoma,3,9.45,,,9.52,
grls9P70MX,LTF,1.67,5.64,Female Intact,Intact,Pacific,Normal,,,,5.64,,5.64,
grlsTS7CG6HH,Enrolled,0.59,9.01,Male Neutered,2 - 5 yrs,Midwest,Overweight,,,,,,9.01,
grlsN5DLQZ66,Enrolled,1.88,10.03,Male Neutered,1 - 2 yrs,Pacific,Overweight,,,,,,10.03,
grlsTLXIJNOO,Enrolled,1.11,9.73,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,9.73,
grlsQVL0ZFEE,Enrolled,1.3,9.69,Female Spayed,<= 6 mo,South,Normal,,,,,,9.69,
grlsKBPBMGUU,Enrolled,1.73,10.24,Male Neutered,2 - 5 yrs,Pacific,Overweight,,,,,,10.24,
grls9Q57Q3JJ,Enrolled,0.65,9.22,Male Neutered,1 - 2 yrs,Northeast,Normal,,,,,,9.22,
grlsCZAFQ7II,Enrolled,0.6,9.14,Female Spayed,1 - 2 yrs,Mountain,Normal,,,,,,9.14,
grlsURFSOP88,Enrolled Deceased,2.98,10.01,Male Neutered,1 - 2 yrs,South,Normal,Hemangiosarcoma,3,10.01,10.01,0,10.01,Yes
grls0N6CMARR,Enrolled,0.72,9.09,Male Intact,Intact,Mountain,Normal,,,,,,9.09,
grlsC78EUT77,Enrolled Deceased,2.16,7.6,Male Intact,Intact,Northeast,Normal,,,,7.6,0,7.6,No
grlsQE71H133,LTF,2.29,3.12,Female Intact,Intact,Northeast,Normal,,,,3.12,,3.12,
grlsQVINB9KK,Enrolled Deceased,2.14,10.57,Female Spayed,<= 6 mo,Pacific,Normal,,,,10.57,0,10.57,Yes
grls1GNBAW55,Enrolled,0.62,9.17,Female Spayed,<= 6 mo,South,,,,,,,9.17,
grlsK4YY7YRR,LTF,1.01,4.71,Female Intact,Intact,Mountain,Normal,,,,4.71,,4.71,
grlsSE979DGG,Enrolled,1.84,10.21,Female Spayed,>5 yrs,South,Normal,,,,,,10.21,
grlsLLJFP811,Enrolled Deceased,1.93,7.04,Male Neutered,6 mo - 1 yr,South,Overweight,,,,7.04,0,7.04,Yes
